index,m2,m3,m5,x,y,z
34,0.0,-1.4000000000000001,-2.0,-0.2053824688578152,0.0010536879896145825,0.08888925840939915
35,0.0,-1.5,-0.8,-0.6013303402872618,0.001053707977916291,0.17585068412052202
36,0.0,-1.5,-0.9,-0.573814739247553,0.0010537059291066645,0.14799206789442482
37,0.0,-1.5,-1.0,-0.5436553630569262,0.0010537039022200736,0.12301959076971103
38,0.0,-1.5,-1.1,-0.5111535703577763,0.0010537017263550872,0.10118278845692133
39,0.0,-1.5,-1.2000000000000002,-0.47663410766404585,0.0010536996982493992,0.08269984301002034
40,0.0,-1.5,-1.3,-0.4404419260330151,0.0010536978850947444,0.06775544616460244
41,0.0,-1.5,-1.4000000000000001,-0.40293856083717844,0.0010536959982332826,0.056498885361084134
42,0.0,-1.5,-1.5,-0.40293856094741176,0.0010536960164967426,0.05649888564150324
43,0.0,-1.5,-1.6,-0.3255066467456561,0.0010536924941335448,0.04546124166915508
44,0.0,-1.5,-1.7000000000000002,-0.2863517722745723,0.0010536909388791627,0.045790443285380455
45,0.0,-1.5,-1.8,-0.2474254206579275,0.0010536895248440567,0.05002695877591995
46,0.0,-1.5,-1.9000000000000001,-0.24742542105207568,0.0010536894179080552,0.050026959367100304
47,0.0,-1.5,-2.0,-0.17180764316269492,0.0010536871064672484,0.07001402110418001
48,0.0,-1.6,-0.6000000000000001,-0.6265716229206413,0.0010537108456100063,0.17533731999438495
49,0.0,-1.6,-0.7000000000000001,-0.6265716228644349,0.0010537108382234145,0.17533731910465428
50,0.0,-1.6,-0.8,-0.5744590805221074,0.0010537068073969101,0.11701216572124326
51,0.0,-1.6,-0.9,-0.5442997428871164,0.0010537045944118988,0.092039797504362
52,0.0,-1.6,-1.0,-0.5117979537331513,0.0010537024715889514,0.0702029873713228
53,0.0,-1.6,-1.1,-0.47727849440426623,0.0010537003462452006,0.05172003599800909
54,0.0,-1.6,-1.2000000000000002,-0.4410862720152406,0.0010536982243747291,0.03677561873874749
55,0.0,-1.6,-1.3,-0.40358291979524163,0.0010536962714796905,0.025518996216308737
56,0.0,-1.6,-1.4000000000000001,-0.36514316848019346,0.0010536942051957872,0.018062824634953734
