m2,m3,m5,x,y,z
0.05000000000000032,-1.5207963267948963,-1.5207963267948963,-0.3395689799974201,0.0010536897078655477,0.023433926615557016
0.06000000000000033,-1.5107963267948963,-1.5107963267948963,-0.3454772576135361,0.001053688625669064,0.02353931967678846
0.07000000000000034,-1.5007963267948963,-1.5007963267948963,-0.3454772576135361,0.0010536878215088071,0.023539319675145914
0.08000000000000035,-1.4907963267948963,-1.4907963267948963,-0.35728257710405703,0.0010536867892247785,0.02380750536970258
0.09000000000000036,-1.4807963267948963,-1.4807963267948963,-0.36317843774897074,0.0010536833477905404,0.023970269780244552
0.10000000000000037,-1.4707963267948962,-1.4707963267948962,-0.36906898153103485,0.0010536807449157773,0.024152131543675598
0.11000000000000038,-1.4607963267948962,-1.4607963267948962,-0.37495361797828886,0.0010536776337737078,0.02435306980913593
0.12000000000000038,-1.4507963267948962,-1.4507963267948962,-0.38083175863339813,0.0010536748957648576,0.024573064484669865
0.1300000000000004,-1.4407963267948962,-1.4407963267948962,-0.3867028156886009,0.001053670661712877,0.02481209356706246
0.1400000000000004,-1.4307963267948962,-1.4307963267948962,-0.3925662006299955,0.0010536663780318072,0.0250701302316457
0.1500000000000004,-1.4207963267948962,-1.4207963267948962,-0.39842142088981525,0.0010536611766607151,0.025347202421424908
0.16000000000000042,-1.4107963267948962,-1.4107963267948962,-0.4042677089461702,0.0010536501501021466,0.02564318754898645
0.17000000000000043,-1.4007963267948962,-1.4007963267948962,-0.41010456701241504,0.0010536439653543463,0.025958094064261444
0.18000000000000044,-1.3907963267948962,-1.3907963267948962,-0.4159314142341391,0.0010536383178150514,0.026291896404814052
0.19000000000000045,-1.3807963267948962,-1.3807963267948962,-0.42174767073867253,0.0010536300328258007,0.02664456746853755
0.20000000000000046,-1.3707963267948962,-1.3707963267948962,-0.42755274929058246,0.0010536208160565885,0.027016059510129503
0.21000000000000046,-1.3607963267948961,-1.3607963267948961,-0.43334607499346733,0.0010536209249339837,0.02740634805722833
0.22000000000000047,-1.3507963267948961,-1.3507963267948961,-0.4391270629270917,0.0010536107667894735,0.02781538121253682
0.23000000000000048,-1.3407963267948961,-1.3407963267948961,-0.4448951377991275,0.001053594704690362,0.028243124453091184
0.2400000000000005,-1.3307963267948961,-1.3307963267948961,-0.4506497255836005,0.00105358876025861,0.028689541753667253
0.2500000000000005,-1.3207963267948961,-1.3207963267948961,-0.44876491871763324,0.0010535836835302195,0.024192428632755336
0.2600000000000005,-1.310796326794896,-1.310796326794896,-0.46211612835969446,0.001053568783363267,0.029638191510457407
0.2700000000000005,-1.300796326794896,-1.300796326794896,-0.4678268839951151,0.0010535556365453256,0.030140383827972184
0.2800000000000005,-1.290796326794896,-1.290796326794896,-0.47352177186990363,0.0010535451878505699,0.03066100673268657
0.29000000000000054,-1.280796326794896,-1.280796326794896,-0.4792003072349623,0.0010535334103268777,0.031200055346420064
0.30000000000000054,-1.270796326794896,-1.270796326794896,-0.48486191678390067,0.001053522168116088,0.03175746131879287
0.31000000000000055,-1.260796326794896,-1.260796326794896,-0.49050604529551173,0.0010535182594413747,0.03233319765469725
0.32000000000000056,-1.250796326794896,-1.250796326794896,-0.4961321228874434,0.0010535051672763663,0.03292719246448164
0.33000000000000057,-1.240796326794896,-1.240796326794896,-0.5017395815521338,0.0010534967352935063,0.03353937142589028
0.3400000000000006,-1.230796326794896,-1.230796326794896,-0.5073278713788314,0.0010534854631402172,0.034169703043499006
0.3500000000000006,-1.220796326794896,-1.220796326794896,-0.5128964281204678,0.0010534727430817638,0.034818109501846634
0.3600000000000006,-1.210796326794896,-1.210796326794896,-0.518444689579477,0.0010534617154255696,0.03548451051688653
0.3700000000000006,-1.200796326794896,-1.200796326794896,-0.5239721116504437,0.001053456638631765,0.036168870193973635
0.3800000000000006,-1.190796326794896,-1.190796326794896,-0.5294781362293667,0.0010534489414073414,0.03687110479366579
0.3900000000000006,-1.180796326794896,-1.180796326794896,-0.5349622127194271,0.0010534245224750533,0.037591144062070175
0.40000000000000063,-1.170796326794896,-1.170796326794896,-0.5404238734779665,0.0010534184039593807,0.038328973291021
0.41000000000000064,-1.160796326794896,-1.160796326794896,-0.5458624104883502,0.0010534104057890465,0.039084404920028654
0.42000000000000065,-1.150796326794896,-1.150796326794896,-0.5512773609992234,0.0010533947745377155,0.03985741991253944
0.43000000000000066,-1.140796326794896,-1.140796326794896,-0.5566681783273675,0.0010533936633013777,0.04064792442726825
0.44000000000000067,-1.130796326794896,-1.130796326794896,-0.5620343338075549,0.0010533852325711806,0.04145587238423959
0.4500000000000007,-1.120796326794896,-1.120796326794896,-0.5673752856124608,0.0010533755911620148,0.042281166573724493
0.4600000000000007,-1.110796326794896,-1.110796326794896,-0.5726904945324458,0.001053369806930999,0.04312370741111532
0.4700000000000007,-1.100796326794896,-1.100796326794896,-0.572690494532446,0.0010533649444051294,0.04312370740005583
0.4800000000000007,-1.090796326794896,-1.090796326794896,-0.5832415859321064,0.0010533614064992347,0.04486027529623576
0.4900000000000007,-1.080796326794896,-1.080796326794896,-0.5884764031268723,0.0010533484464305557,0.04575409421805485
0.5000000000000007,-1.070796326794896,-1.070796326794896,-0.5936833775346781,0.001053341573491036,0.04666484695141038
0.5100000000000007,-1.0607963267948959,-1.0607963267948959,-0.5988619833952401,0.0010533360883391086,0.04759242502924976
0.5200000000000007,-1.0507963267948959,-1.0507963267948959,-0.6040117839029713,0.0010533333296626883,0.04853681905814805
0.5300000000000007,-1.0407963267948959,-1.0407963267948959,-0.6091321015237043,0.0010533323609520336,0.049497768693561345
0.5400000000000007,-1.0307963267948959,-1.0307963267948959,-0.6142224959389441,0.0010533292142086296,0.05047522376908048
0.5500000000000007,-1.0207963267948958,-1.0207963267948958,-0.619282477776068,0.0010533197716473728,0.05146915944602279
0.5600000000000007,-1.0107963267948958,-1.0107963267948958,-0.6243115311821388,0.0010533203736431613,0.05247944006374802
0.5700000000000007,-1.0007963267948958,-1.0007963267948958,-0.6293091532569666,0.0010533192258813339,0.05350596456712378
0.5800000000000007,-0.9907963267948958,-0.9907963267948958,-0.6342748442434615,0.0010533154019659139,0.0545486303024065
0.5900000000000007,-0.9807963267948958,-0.9807963267948958,-0.6392081075776103,0.0010533183607531486,0.055607333027150097
0.6000000000000008,-0.9707963267948958,-0.9707963267948958,-0.6441084405064085,0.0010533124657254199,0.056681928442030904
0.6100000000000008,-0.9607963267948958,-0.9607963267948958,-0.6489753719290803,0.0010533124709836078,0.057772385614611454
0.6200000000000008,-0.9507963267948958,-0.9507963267948958,-0.6538084436676525,0.0010533120633598931,0.05887860299494699
0.6300000000000008,-0.9407963267948958,-0.9407963267948958,-0.658607096138556,0.0010533089180749578,0.060000379119920705
0.6400000000000008,-0.9307963267948958,-0.9307963267948958,-0.6633708877568414,0.0010533101296424606,0.0611376470594609
0.6500000000000008,-0.9207963267948958,-0.9207963267948958,-0.6680993421482251,0.001053311860595395,0.0622902930783536
0.6600000000000008,-0.9107963267948957,-0.9107963267948957,-0.6727919774442828,0.0010533122980972728,0.06345816180699929
0.6700000000000008,-0.9007963267948957,-0.9007963267948957,-0.6774483425115585,0.001053314849256329,0.06464121638999859
0.6800000000000008,-0.8907963267948957,-0.8907963267948957,-0.6820679989314531,0.0010533193294601426,0.0658393465410268
0.6900000000000008,-0.8807963267948957,-0.8807963267948957,-0.6866504118300876,0.0010533194408652521,0.06705233711798417
